Checkpoint,lon,lat,,,,
Willow,-149.991111,61.769444,,,,
Yentna,-150.6789,61.7322,,,,
Skwentna, -151.1727,61.9651,,,,
Finger Lake,-152.0728 ,61.9793,,,,
Rainy Pass, -152.7232,62.0872,,,,
Rohn,-153.3788 ,62.3031,,,,
Nikolai, -154.3750,63.0133,,,,
McGrath, -155.5959,62.9532,,,,
Takotna,-156.0641 ,62.9886,,,,
Ophir,-156.5299 ,63.1460,,,,
Iditarod,-158.0984 ,62.5446,,,,
Shageluk,-159.5323 ,62.6550,,,,
Anvik,-160.1990 ,62.6522,,,,
Grayling,-160.0642 ,62.9054,,,,
Kaltag,-158.7257 ,64.3138,,,,
Unalakleet,-160.7863,63.8742,,,,
Koyuk,-161.1680,64.9286,,,,
Shaktoolik,-161.1918,64.3519,,,,
Elim,-162.2494,64.6162,,,,
White Mountain,-163.4067,64.6798,,,,
Safety,-164.7519,64.4681,,,,
Nome,-165.3996,64.4964,,,,